Wall time,Step,Value
1600627894.3566809,18,1.612074613571167
1600627896.5986629,42,1.6017796993255615
1600627896.8788657,45,1.6016689538955688
1600627897.905721,56,1.5999109745025635
1600627899.3087013,71,1.5959244966506958
1600627903.7860277,74,1.58762526512146
1600627905.6630428,94,1.5800143480300903
1600627912.77921,155,1.5337786674499512
1600627913.0611017,158,1.5260627269744873
1600627913.9053054,167,1.5186898708343506
1600627921.1064084,229,1.4316632747650146
1600627921.5751426,234,1.4239164590835571
1600627923.5437171,255,1.3540927171707153
1600627924.012752,260,1.3476797342300415
1600627924.670732,267,1.2997056245803833
1600627925.2346222,273,1.4949206113815308
1600627929.936419,308,1.3229583501815796
1600627930.1239061,310,1.2032158374786377
1600627930.8773394,318,1.273061990737915
1600627933.605512,347,1.2422276735305786
1600627935.4868329,367,1.141208529472351
1600627941.978038,421,1.2250187397003174
1600627942.0721295,422,1.0643537044525146
1600627943.9566398,442,1.1476303339004517
1600627947.0991144,460,1.1634317636489868
1600627947.4769855,464,1.0433018207550049
1600627948.4226904,474,1.0361429452896118
1600627955.7224898,536,1.2326995134353638
1600627958.294925,563,1.110203742980957
1600627959.8173041,579,0.9530728459358215
1600627960.4818735,586,1.1203902959823608
1600627960.5768013,587,1.0754112005233765
1600627968.3208213,620,1.0668808221817017
1600627969.6434658,634,1.0764367580413818
1600627970.402205,642,0.9674434661865234
1600627970.8732662,647,1.1923561096191406
1600627971.0614464,649,1.1254057884216309
1600627972.2005703,661,1.1492407321929932
1600627977.5710306,671,1.233528971672058
1600627981.6274548,714,0.9995850324630737
1600627982.383677,722,1.038912057876587
1600627983.1376965,730,1.0830259323120117
1600627987.033732,756,1.1009184122085571
1600627987.8907075,765,1.1120448112487793
1600627988.2704008,769,1.0629316568374634
1600627988.4605083,771,1.1085346937179565
1600627989.7931507,785,1.1387732028961182
1600627989.9839108,787,1.0778391361236572
1600627990.6508348,794,1.3493859767913818
1600627991.413212,802,1.0792208909988403
1600627991.9862704,808,1.0478487014770508
1600627999.2250967,836,1.1439754962921143
1600628010.6028702,909,1.1135145425796509
1600628013.722063,942,0.962382435798645
1600628014.005196,945,1.0045435428619385
1600628017.0807254,962,0.976868748664856
1600628017.9320147,971,1.1088247299194336
1600628018.0279624,972,0.9511901140213013
1600628018.5987413,978,0.9210570454597473
1600628018.6938443,979,1.2274192571640015
1600628019.1699874,984,0.9482325315475464
1600628020.8822362,1002,1.157137155532837
1600628021.1672459,1005,1.065566062927246
1600628022.023921,1014,1.0176095962524414
1600628028.1256232,1063,1.1369397640228271
1600628028.411706,1066,1.0442798137664795
1600628028.9831693,1072,1.1124430894851685
1600628029.5559647,1078,1.0732355117797852
1600628030.0325835,1083,1.1037161350250244
